sep=,
DeviceTag:,Xsens DOT7
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-17_11:42:38_431 GMT+8
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
16154,1801851317,152.842316,-7.794546,-114.997421,-6.618748,8.075628,-18.546379,-278.774658,-64.247810,-231.765671
16155,1801867984,146.723816,-5.479951,-112.192856,-8.448485,9.942118,-15.756635,-345.961365,-37.319561,-213.217178
16156,1801884651,139.936447,-3.069013,-109.562393,-11.567093,11.239143,-10.478149,-393.626801,-23.436846,-211.482788
16157,1801901318,132.673538,-0.192161,-107.681976,-14.776236,11.584346,-0.400813,-430.536652,-48.286003,-199.593353
16158,1801917985,126.954765,4.615558,-107.764160,-15.244814,8.286971,18.204651,-340.626892,-189.908218,-217.136185
16159,1801934652,123.047760,9.944552,-110.590088,-12.492840,0.223178,37.244072,-210.404190,-322.538452,-164.019455
16160,1801951319,118.666229,13.564821,-113.686974,-1.698182,-8.585172,52.720345,-222.448929,-268.931183,-91.868439
16161,1801967986,115.308540,14.755581,-114.986099,13.779035,-20.508205,59.624249,-179.993729,-101.149750,-28.224670
16162,1801984653,115.459213,15.166366,-115.147194,17.749052,-25.473726,53.421474,13.647481,-20.496536,-17.214949
16163,1802001320,118.152359,14.993780,-115.290848,16.522909,-20.121912,41.357189,165.618561,-4.411141,13.946415
16164,1802017987,121.871216,14.286029,-115.218025,14.385606,-10.652279,31.896034,223.546783,23.122147,35.569965
16165,1802034654,126.161507,13.248068,-115.038361,9.544095,-4.660474,26.539577,256.181122,41.682884,46.707165
16166,1802051321,130.752686,11.984092,-114.856529,3.375494,-0.838994,23.695427,274.317108,53.652981,53.760098
16167,1802067988,135.561127,10.376792,-114.684875,-1.028491,2.918462,21.804451,287.712036,71.500580,64.467934
16168,1802084655,141.068527,8.893312,-114.547478,-4.700647,6.963923,18.346340,330.310577,70.080101,54.185406
16169,1802101322,147.591370,8.093591,-114.462646,-9.454601,9.997556,13.080902,391.972534,40.162006,24.979650
16170,1802117989,154.756348,7.435555,-114.339943,-14.392092,11.750282,7.566038,430.405121,36.409691,13.753422
16171,1802134656,162.000061,6.747625,-114.266983,-17.767330,12.090043,-0.198239,435.773651,38.324596,12.282915
16172,1802151323,169.006699,5.854037,-114.391708,-17.972837,11.358315,-7.708691,423.117554,48.434124,21.730099
16173,1802167990,175.402298,4.321478,-114.957848,-16.878984,10.603031,-13.276358,388.824097,84.929695,47.103691
16174,1802184657,-178.364792,2.870822,-115.924637,-13.347320,9.046335,-18.512674,379.855560,83.927818,61.239128
16175,1802201324,-172.266724,1.778113,-117.009750,-7.924438,6.766137,-22.579212,370.894440,69.060165,60.603424
16176,1802217991,-166.303894,1.365058,-117.917824,-2.724748,3.680856,-26.123556,361.708344,32.868710,50.032459
16177,1802234658,-160.719162,1.099112,-118.802109,2.265904,-0.109488,-27.608126,338.670990,28.747467,47.462097
16178,1802251325,-155.837097,0.614309,-120.065628,9.181408,-4.407846,-30.576523,296.445984,53.472324,60.794285
16179,1802267992,-152.504456,-0.102243,-121.623871,16.423428,-8.699476,-30.289957,202.644638,77.823341,66.566933
16180,1802284659,-150.920410,-0.980544,-122.965645,21.442692,-13.451118,-30.068293,96.381371,82.951630,47.059086
16181,1802301326,-151.184143,-1.761308,-123.640533,22.376148,-15.784528,-28.695465,-14.910612,58.997650,13.892371
16182,1802317993,-153.221466,-2.176126,-123.749657,20.065596,-15.178658,-28.301001,-120.803658,23.488813,-4.680510
16183,1802334660,-157.173721,-2.472106,-123.606689,16.050961,-12.268055,-28.013212,-235.316574,10.947396,-14.097448
16184,1802351327,-162.880554,-2.771662,-123.197807,13.215747,-7.128582,-29.062132,-339.955231,6.941590,-28.052216
16185,1802367994,-169.905960,-2.852675,-122.203110,7.883747,-2.696018,-28.792553,-417.342163,-10.877020,-57.989796
