PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
100,1534279299,-15.201202,-53.950874,26.352283,-1.869295,2.606809,-4.136289,167.492386,220.674316,-44.524307
101,1534295966,-10.167802,-50.056499,24.212791,-2.320345,1.890221,-3.080765,200.160324,246.089539,-24.668606
102,1534312633,-5.792505,-46.136189,23.219532,-2.294379,0.983986,-2.031767,217.317856,239.189072,-5.588841
103,1534329300,-1.884744,-42.460518,22.788517,-1.686931,0.193439,-0.838484,215.435577,221.91452,-2.545852
104,1534345967,1.461452,-39.047604,22.582106,-1.548382,-0.27949,0.18445,191.65065,205.359619,-7.529616
105,1534362634,3.281934,-37.515793,21.892136,0.023715,-0.344119,-0.080821,82.55764,90.915039,-35.231895
106,1534379301,5.391737,-34.592464,21.602266,-0.304882,-1.055223,1.540763,115.315277,174.264008,-26.321087
107,1534395968,7.091451,-32.030449,21.843201,-0.302519,-0.776664,1.275983,108.935211,154.506943,-3.841006
108,1534412635,8.459104,-29.974566,22.072199,0.522797,-1.687804,1.636127,88.18914,124.156708,-4.235612
109,1534429302,9.761763,-28.07131,22.20892,0.308965,-1.356933,2.285769,81.30645,114.217216,-10.327529
110,1534445969,10.730447,-26.619511,22.461327,0.434701,-0.835139,2.817021,64.343155,88.414772,-1.666894
111,1534462636,11.384424,-25.513496,22.647902,0.746493,-0.402917,2.668542,43.494774,67.358269,-2.325071
112,1534479303,11.610736,-24.778557,22.739374,0.568217,-0.103349,2.210654,15.30587,44.531685,-3.429426
113,1534495970,11.434895,-24.409296,22.821924,0.397681,-0.135744,1.578321,-9.058783,22.96221,0.455837
114,1534512637,11.098646,-24.294228,22.937687,0.203868,0.219073,1.254519,-17.84602,8.373322,5.312625
115,1534529304,10.882917,-24.358824,23.130436,-0.088949,0.364017,0.702129,-8.706916,-1.418906,11.542173
116,1534545971,10.772979,-24.483494,23.423708,-0.158706,0.558463,0.060781,0.143937,-3.961034,17.614019
117,1534562638,10.76003,-24.56753,23.677368,-0.242006,0.648728,-0.04109,4.985241,-1.989251,15.035699
118,1534579305,10.774871,-24.533358,23.931465,-0.137782,0.60127,-0.204141,6.642717,4.982488,13.755037
119,1534595972,10.83479,-24.379173,24.188046,-0.099469,0.782457,-0.202351,9.363818,12.094828,12.562413
120,1534612639,10.884791,-24.177641,24.413931,-0.116174,0.777943,-0.607522,7.937469,14.595486,10.406882
121,1534629306,10.873797,-24.106588,24.590736,-0.286687,0.615556,-1.049636,3.014405,6.415965,9.275368
122,1534645973,10.97125,-23.906385,24.738625,-0.547174,0.602772,-1.150211,8.765028,13.726288,6.274932
123,1534662640,11.234571,-23.525568,24.939529,-0.882811,0.797668,-0.785815,19.920898,24.922884,7.044818
124,1534679307,11.502696,-22.88245,25.223032,-0.729315,1.195193,-0.894574,22.005728,41.254913,8.365859
125,1534695974,7.939299,-21.303892,26.239664,-1.543142,3.208161,-2.103645,-191.698257,103.228996,40.398567
126,1534712641,4.376275,-21.434269,26.913387,0.694264,-0.98548,-0.705586,-200.108459,-3.440354,39.054649
127,1534729308,4.32615,-19.740921,26.927526,0.683534,0.171671,-2.074258,-3.683203,101.661079,-6.176754
128,1534745975,4.366616,-18.315872,26.881411,-2.016459,0.412021,-0.887225,0.571678,85.385391,-8.380949
129,1534762642,4.395338,-17.102825,27.08704,-1.534896,0.26419,-0.737559,4.439734,73.681641,6.875549
130,1534779309,4.627826,-15.91513,27.468092,-1.763566,0.823537,0.178935,19.352804,72.897575,16.965691
131,1534795976,4.973917,-14.848351,27.960365,-1.696119,0.853443,0.550504,27.412436,66.223915,23.752947
132,1534812643,5.248981,-14.014803,28.526871,-1.856498,0.693209,0.721033,23.697069,52.741673,29.079596
133,1534829310,5.407526,-13.403753,29.148529,-1.725107,0.121447,0.806097,16.986143,39.789932,33.43935
134,1534845977,5.498226,-13.325548,29.876167,-1.40146,0.019808,1.080281,14.115252,8.551733,42.615547
135,1534862644,5.484483,-13.577872,30.652246,-1.237388,0.524653,1.403755,8.555842,-10.948615,47.325394
136,1534879311,5.471935,-13.965319,31.546196,-1.46399,0.455556,1.293246,10.511214,-18.409519,54.904205
137,1534895978,5.431365,-14.579725,32.576912,-1.674256,0.456793,1.020799,11.251127,-31.28323,64.032524
138,1534912645,5.434367,-15.279571,33.705662,-1.382585,0.517295,0.617464,16.001408,-35.927826,70.034035
139,1534929312,5.666043,-15.762482,34.913818,-1.029338,0.377493,0.230247,31.612066,-22.424294,73.278885
140,1534945979,6.113305,-16.025656,36.213417,-1.041826,0.151585,-0.086166,46.462704,-8.350775,77.209435
141,1534962646,6.608502,-16.272745,37.576221,-1.066429,0.148111,-0.3097,50.693943,-6.37162,80.71563
142,1534979313,7.012637,-16.59585,38.935066,-1.090198,0.055805,-0.414105,45.519615,-10.313872,80.988197
143,1534995980,7.293906,-17.101954,40.269176,-1.172901,-0.100017,-0.418471,38.252724,-20.929256,80.865189
144,1535012647,7.467316,-17.736395,41.610901,-1.077605,-0.084139,-0.618681,32.653416,-28.23303,82.16787
145,1535029314,7.53497,-18.232838,42.890186,-0.9061,-0.053668,-0.874899,25.885271,-20.357201,77.402031
146,1535045981,7.498466,-18.5662,44.029037,-0.990975,-0.127968,-0.752683,17.485544,-11.70725,68.049011
147,1535062648,7.370252,-18.842085,45.097118,-1.132827,-0.352541,-0.610098,10.946129,-8.931717,63.504318
148,1535079315,7.291804,-19.014198,46.210583,-1.208062,-0.500404,-0.414676,15.031681,-2.577497,65.182533
149,1535095982,7.288312,-19.166462,47.382866,-1.414782,-0.6153,-0.119259,20.840981,-1.058541,68.290123
150,1535112649,7.360046,-19.333984,48.59341,-1.379126,-0.878756,0.063383,26.267754,-1.697464,70.507103
151,1535129316,7.405669,-19.597551,49.77203,-1.246954,-1.012724,0.137651,24.302059,-7.631707,69.380829
152,1535145983,7.439992,-19.76228,50.895977,-0.971566,-1.244438,0.207898,22.758953,-2.160941,65.477493
153,1535162650,7.466058,-19.836576,51.949306,-1.000966,-1.457386,0.389435,20.968866,2.679749,60.76889
154,1535179317,7.434733,-20.012165,52.904514,-1.089807,-1.66354,0.662918,15.66355,-4.132863,56.020214
155,1535195984,7.330791,-20.470636,53.759865,-1.000761,-1.749389,0.670222,9.547892,-21.840715,52.513184
156,1535212651,7.231236,-20.964849,54.59536,-0.787668,-1.533414,0.38841,9.812243,-24.296427,51.495022
157,1535229318,7.117463,-21.593493,55.395611,-0.822533,-1.716524,0.191719,8.677035,-32.721352,50.330879
158,1535245985,7.092085,-22.33087,56.19664,-0.448747,-1.52073,-0.267967,14.559472,-39.344742,50.936451
159,1535262652,7.304057,-22.752949,57.063526,-0.15226,-1.223805,-0.702458,30.804878,-20.107523,52.067139
160,1535279319,7.571771,-23.004429,57.989426,-0.249243,-1.162158,-0.865481,35.845959,-9.361635,53.926273
161,1535295986,7.750023,-23.202232,58.901844,0.02442,-1.051287,-1.017062,30.392031,-6.099002,52.698452
